id;egitim_baslik;egitim_alt_baslik;egitim_baslama_tarihi;egitim_bitis_tarihi;ders_sayisi;egitim_suresi;egitim_yeri;egitim_puani;aktif
1;CFP Steel;lime Orchard;2021-11-27;2021-11-26;66751;93191;up;36529;true
2;models;Investment;2021-11-27;2021-11-27;14196;57851;Games Soft;7756;false
3;pink;encompassing Profound drive;2021-11-27;2021-11-27;49734;95195;superstructure Metal;9183;true
4;maximize;specifically deliver;2021-11-27;2021-11-26;17524;29118;Quality Home;36490;false
5;demand-driven;override Florida;2021-11-27;2021-11-27;83938;86152;generating users Central;952;false
6;Producer Soft Customer;Money incremental;2021-11-27;2021-11-27;66891;96086;quantify Wooden Plastic;77881;true
7;Fantastic;concept Berkshire connecting;2021-11-27;2021-11-26;45032;66378;silver;32405;true
8;visualize Program Handmade;connect;2021-11-27;2021-11-26;630;4605;Bacon open;66648;true
9;Engineer withdrawal Beauty;ROI gold;2021-11-27;2021-11-26;83015;82646;human-resource Implemented;27821;false
10;Harbors green;Concrete SQL;2021-11-27;2021-11-26;81913;39588;Refined Universal;94778;true
