id;egitim_baslik;egitim_alt_baslik;egitim_baslama_tarihi;egitim_bitis_tarihi;ders_sayisi;egitim_suresi;egitim_yeri;egitim_puani;kayit
1;İspanya;Identity Mobility Chips;2021-11-27;2021-11-26;87116;85047;withdrawal withdrawal end-to-end;9815;true
2;monetize;International Identity;2021-11-27;2021-11-26;27870;46855;lime matrix Future;49288;false
3;service-desk;Granite;2021-11-27;2021-11-27;33116;30811;haptic;28332;false
4;Tasty;1080p;2021-11-27;2021-11-27;80770;73616;Gorgeous Franc Svalbard,;72867;false
5;well-modulated;PCI mission-critical drive;2021-11-27;2021-11-26;58331;60964;Tunnel Applications California;18522;true
6;compressing Letonya experiences;European Program;2021-11-27;2021-11-27;16813;44000;Frozen bleeding-edge Pre-emptive;46451;false
7;Amerika New Pennsylvania;Manager Sports GB;2021-11-27;2021-11-27;260;93218;Steel Officer;89642;true
8;Dollar driver Green;Bhutan Lead;2021-11-27;2021-11-27;67823;24781;schemas Greens;60037;false
9;Georgia;blue;2021-11-27;2021-11-27;51760;51456;copying;18593;true
10;Uzbekistan;Account;2021-11-27;2021-11-27;12561;18353;virtual;85524;true
